City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
195,Planeta Rica,CO,8.4147,-75.5883,82.4,81,95,6.13,overcast clouds,2021-06-06 14:32:27
196,Komsomolskiy,UZ,40.4272,71.7189,95.72,17,29,6.91,scattered clouds,2021-06-06 14:32:27
197,Dingle,PH,10.9995,122.6711,77.54,84,100,1.63,light rain,2021-06-06 14:32:28
198,Thompson,CA,55.7435,-97.8558,53.76,94,75,2.3,broken clouds,2021-06-06 14:30:48
199,Puerto Leguizamo,CO,-0.1934,-74.7819,82.58,71,99,0.87,overcast clouds,2021-06-06 14:32:28
200,Yulara,AU,-25.2406,130.9889,49.84,50,0,4.61,clear sky,2021-06-06 14:32:28
201,Cabo San Lucas,MX,22.8909,-109.9124,88.81,52,54,7.23,broken clouds,2021-06-06 14:30:02
202,Cangzhou,CN,38.3167,116.8667,78.87,28,96,15.35,light rain,2021-06-06 14:32:29
203,Jieshi,CN,22.8134,115.8257,78.37,88,39,17.34,scattered clouds,2021-06-06 14:32:29
204,Jinka,ET,5.65,36.65,72.86,63,72,3.76,broken clouds,2021-06-06 14:32:29
205,Tigil,RU,57.8,158.6667,42.51,87,91,6.44,overcast clouds,2021-06-06 14:32:30
206,Naze,JP,28.3667,129.4833,68.27,92,100,6.62,moderate rain,2021-06-06 14:32:30
207,Pangnirtung,CA,66.1451,-65.7125,35.33,83,16,1.1,few clouds,2021-06-06 14:32:31
208,Eureka,US,40.8021,-124.1637,54.19,74,49,8.01,scattered clouds,2021-06-06 14:29:09
209,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,68,40,3.36,scattered clouds,2021-06-06 14:32:31
210,Zhangjiakou,CN,40.81,114.8794,70.84,37,100,6.51,overcast clouds,2021-06-06 14:30:31
211,La Ronge,CA,55.1001,-105.2842,53.85,87,90,4.61,overcast clouds,2021-06-06 14:32:32
212,Talnakh,RU,69.4865,88.3972,32.13,98,100,4.36,light snow,2021-06-06 14:32:32
213,Dikson,RU,73.5069,80.5464,30.88,89,99,11.88,overcast clouds,2021-06-06 14:32:32
214,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,14.41,mist,2021-06-06 14:32:32
215,Faanui,PF,-16.4833,-151.75,80.67,72,0,11.43,clear sky,2021-06-06 14:32:33
216,Gushikawa,JP,26.3544,127.8686,78.8,88,90,8.68,heavy intensity rain,2021-06-06 14:32:33
