City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Kotka,FI,69.33,light rain,60.4664,26.9458,
507,Voh,NC,65.64,overcast clouds,-20.9667,164.7,
509,Paralimni,CY,88.29,clear sky,35.0375,33.9833,
510,Sao Pedro Do Piaui,BR,89.67,clear sky,-5.9294,-42.7186,
511,Nishiwaki,JP,72.99,overcast clouds,34.9833,134.9667,
512,Salacgriva,LV,63.39,clear sky,57.7536,24.3581,
513,Acajutla,SV,85.8,overcast clouds,13.5928,-89.8275,
516,Tabou,CI,83.37,light rain,4.423,-7.3528,
517,Siocon,PH,78.96,overcast clouds,7.7061,122.1353,
518,Paita,PE,72.16,overcast clouds,-5.0892,-81.1144,
519,Sysert,RU,78.78,scattered clouds,56.4953,60.8192,
520,Etchojoa,MX,79.29,clear sky,26.9167,-109.6333,
521,Judaberg,NO,67.14,overcast clouds,59.1659,5.8732,
522,Campeche,MX,89.28,scattered clouds,19.0,-90.5,
523,Turrialba,CR,82.9,scattered clouds,9.9047,-83.6835,
524,Bonoua,CI,83.82,light rain,5.2741,-3.595,
525,Nouadhibou,MR,67.44,scattered clouds,20.930999999999997,-17.0347,
526,Kaitong,CN,64.02,few clouds,44.8135,123.15,
527,Yanaul,RU,68.99,clear sky,56.2719,54.9309,
528,Neyshabur,IR,94.51,clear sky,36.2133,58.7958,
529,Datong,CN,70.81,overcast clouds,40.0936,113.2914,
530,Palmer,US,88.14,few clouds,42.1584,-72.3287,
531,Yumen,CN,69.01,clear sky,40.2833,97.2,
532,Antigonish,CA,68.13,broken clouds,45.6169,-61.9986,
533,Hengshui,CN,81.68,overcast clouds,37.7322,115.7011,
534,Pimenta Bueno,BR,88.21,overcast clouds,-11.6725,-61.1936,
535,Pionerskiy,RU,69.64,overcast clouds,54.9508,20.2275,
536,Kualakapuas,ID,80.76,overcast clouds,-3.0091,114.3876,
537,Bonfim,BR,85.37,few clouds,3.0833,-59.95,
538,Bosaso,SO,91.38,clear sky,11.2842,49.1816,
539,Paris,FR,73.18,scattered clouds,48.8534,2.3488,
541,Tazmalt,DZ,78.66,scattered clouds,36.3868,4.3989,
544,Pershotravneve,UA,67.86,broken clouds,51.3929,28.8684,
545,Concarneau,FR,69.06,overcast clouds,47.875,-3.9225,
547,Breves,BR,89.35,scattered clouds,-1.6822,-50.4803,
550,Little Current,CA,69.89,broken clouds,45.9793,-81.9248,
551,Ortakoy,TR,71.85,clear sky,38.7373,34.0387,
552,Torres,BR,63.14,moderate rain,-29.3353,-49.7269,
553,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,
557,Bubaque,GW,79.95,clear sky,11.2833,-15.8333,
558,Springdale,US,73.31,light rain,36.1867,-94.1288,
559,Metro,ID,75.4,broken clouds,-5.1131,105.3067,
560,La Macarena,CO,79.39,broken clouds,2.1837,-73.7849,
561,Taywarah,AF,71.89,clear sky,33.35,64.4167,
562,Tongliao,CN,63.57,clear sky,43.6125,122.2653,
563,Thunder Bay,CA,73.99,broken clouds,48.4001,-89.3168,
564,Ovalle,CL,63.57,broken clouds,-30.5983,-71.2003,
565,Pokhara,NP,77.13,overcast clouds,28.2333,83.9833,
566,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,
568,Kupang,ID,77.25,overcast clouds,-10.1667,123.5833,
569,Bose,IT,80.08,clear sky,45.4612,8.0137,
570,Sovetskiy,RU,67.33,broken clouds,61.3614,63.5842,
571,Newtownards,GB,61.54,broken clouds,54.5924,-5.6909,
572,Mayna,RU,63.7,overcast clouds,54.1135,47.6231,
575,Ruteng,ID,63.54,overcast clouds,-8.6136,120.4721,
576,Kawardha,IN,91.17,clear sky,22.0167,81.25,
577,Uttarkashi,IN,68.27,overcast clouds,30.7333,78.45,
578,Chifeng,CN,69.04,overcast clouds,42.2683,118.9636,
582,Kandrian,PG,77.02,light rain,-6.2167,149.55,
584,Fereydun Kenar,IR,80.91,few clouds,36.6864,52.5225,
585,Siavonga,ZM,73.87,overcast clouds,-16.5382,28.7088,
586,Da Nang,VN,86.05,few clouds,16.0678,108.2208,
588,Northam,GB,68.92,broken clouds,51.0333,-4.2167,
591,Mogapinyana,BW,64.11,clear sky,-22.3667,27.6,
592,Santarem,BR,84.33,scattered clouds,-2.4431,-54.7083,
593,Ca Mau,VN,82.24,overcast clouds,9.1769,105.15,
594,Hindaun,IN,95.49,broken clouds,26.7167,77.0167,
595,Chimore,BO,70.52,overcast clouds,-16.9833,-65.1333,
596,Senno,RU,78.87,few clouds,59.5336,33.9167,
597,Marienburg,PL,71.26,overcast clouds,54.0359,19.0266,
600,Freeport,US,91.49,clear sky,40.6576,-73.5832,
601,Jamui,IN,98.01,scattered clouds,24.9167,86.2167,
602,Rzhev,RU,64.67,overcast clouds,56.2624,34.3282,
604,Jian,CN,72.91,overcast clouds,27.1172,114.9793,
606,Bad Kreuznach,DE,73.53,overcast clouds,49.8333,7.8667,
607,New Bern,US,83.03,broken clouds,35.1085,-77.0441,
610,Seoul,KR,69.4,few clouds,37.5683,126.9778,
611,Ocnita,RO,76.8,broken clouds,44.9833,25.55,
612,Ponte De Sor,PT,88.72,clear sky,39.2496,-8.0101,
613,Riberalta,BO,82.6,scattered clouds,-10.9833,-66.1,
614,Yamada,JP,62.19,overcast clouds,39.4667,141.95,
